,Match Number,first_position,second_position,Round Number,Date,Location,Home Team,Away Team,Group,Result
0,1,50.0,44.0,1,20/11/2022 16:00,Al Bayt Stadium,Qatar,Ecuador,Group A,
1,3,5.0,20,1,21/11/2022 13:00,Khalifa International Stadium,England,Iran,Group B,
2,2,18.0,8.0,1,21/11/2022 16:00,Al Thumama Stadium,Senegal,Netherlands,Group A,
3,4,16.0,19.0,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,USA,Wales,Group B,
4,8,3.0,51.0,1,22/11/2022 10:00,Lusail Stadium,Argentina,Saudi Arabia,Group C,
5,6,10.0,30.0,1,22/11/2022 13:00,Education City Stadium,Denmark,Tunisia,Group D,
6,7,13.0,26.0,1,22/11/2022 16:00,Stadium 974,Mexico,Poland,Group C,
7,5,4.0,38.0,1,22/11/2022 19:00,Al Janoub Stadium,France,Australia,Group D,
8,12,22.0,12.0,1,23/11/2022 10:00,Al Bayt Stadium,Morocco,Croatia,Group F,
9,11,11.0,24.0,1,23/11/2022 13:00,Khalifa International Stadium,Germany,Japan,Group E,
10,10,7.0,31.0,1,23/11/2022 16:00,Al Thumama Stadium,Spain,Costa Rica,Group E,
11,9,2.0,41.0,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,
12,13,15.0,43.0,1,24/11/2022 10:00,Al Janoub Stadium,Switzerland,Cameroon,Group G,
13,14,14.0,28.0,1,24/11/2022 13:00,Education City Stadium,Uruguay,Korea Republic,Group H,
14,15,9.0,61.0,1,24/11/2022 16:00,Stadium 974,Portugal,Ghana,Group H,
15,16,1.0,21.0,1,24/11/2022 19:00,Lusail Stadium,Brazil,Serbia,Group G,
16,17,19.0,20,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,Iran,Group B,
17,18,50.0,18.0,2,25/11/2022 13:00,Al Thumama Stadium,Qatar,Senegal,Group A,
18,19,8.0,44.0,2,25/11/2022 16:00,Khalifa International Stadium,Netherlands,Ecuador,Group A,
19,20,5.0,16.0,2,25/11/2022 19:00,Al Bayt Stadium,England,USA,Group B,
20,21,30.0,38.0,2,26/11/2022 10:00,Al Janoub Stadium,Tunisia,Australia,Group D,
21,22,26.0,51.0,2,26/11/2022 13:00,Education City Stadium,Poland,Saudi Arabia,Group C,
22,23,4.0,10.0,2,26/11/2022 16:00,Stadium 974,France,Denmark,Group D,
23,24,3.0,13.0,2,26/11/2022 19:00,Lusail Stadium,Argentina,Mexico,Group C,
24,25,24.0,31.0,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,
25,26,2.0,22.0,2,27/11/2022 13:00,Al Thumama Stadium,Belgium,Morocco,Group F,
26,27,12.0,41.0,2,27/11/2022 16:00,Khalifa International Stadium,Croatia,Canada,Group F,
27,28,7.0,11.0,2,27/11/2022 19:00,Al Bayt Stadium,Spain,Germany,Group E,
28,29,43.0,21.0,2,28/11/2022 10:00,Al Janoub Stadium,Cameroon,Serbia,Group G,
29,30,28.0,61.0,2,28/11/2022 13:00,Education City Stadium,Korea Republic,Ghana,Group H,
30,31,1.0,15.0,2,28/11/2022 16:00,Stadium 974,Brazil,Switzerland,Group G,
31,32,9.0,14.0,2,28/11/2022 19:00,Lusail Stadium,Portugal,Uruguay,Group H,
32,35,44.0,18.0,3,29/11/2022 15:00,Khalifa International Stadium,Ecuador,Senegal,Group A,
33,36,8.0,50.0,3,29/11/2022 15:00,Al Bayt Stadium,Netherlands,Qatar,Group A,
34,33,19.0,5.0,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,England,Group B,
35,34,20,16.0,3,29/11/2022 19:00,Al Thumama Stadium,Iran,USA,Group B,
36,37,38.0,10.0,3,30/11/2022 15:00,Al Janoub Stadium,Australia,Denmark,Group D,
37,38,30.0,4.0,3,30/11/2022 15:00,Education City Stadium,Tunisia,France,Group D,
38,39,26.0,3.0,3,30/11/2022 19:00,Stadium 974,Poland,Argentina,Group C,
39,40,51.0,13.0,3,30/11/2022 19:00,Lusail Stadium,Saudi Arabia,Mexico,Group C,
40,41,12.0,2.0,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,Belgium,Group F,
41,42,41.0,22.0,3,01/12/2022 15:00,Al Thumama Stadium,Canada,Morocco,Group F,
42,43,24.0,7.0,3,01/12/2022 19:00,Khalifa International Stadium,Japan,Spain,Group E,
43,44,31.0,11.0,3,01/12/2022 19:00,Al Bayt Stadium,Costa Rica,Germany,Group E,
44,45,61.0,14.0,3,02/12/2022 15:00,Al Janoub Stadium,Ghana,Uruguay,Group H,
45,46,28.0,9.0,3,02/12/2022 15:00,Education City Stadium,Korea Republic,Portugal,Group H,
46,47,21.0,15.0,3,02/12/2022 19:00,Stadium 974,Serbia,Switzerland,Group G,
47,48,43.0,1.0,3,02/12/2022 19:00,Lusail Stadium,Cameroon,Brazil,Group G,
